"LIVE COLD-STUNNED SEA TURTLES STRANDED ALONG THE PACIFIC COAST OF NORTH AMERICA (NORTH OF POINT CONCEPTION) FROM 2009-2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"ERDDAP SST minimum on day of stranding (+/-0.39)",,,,,,,,,,,,,,,,
"Study ID","Field ID","Strand Date",Species,City,State,Latitude,Longitude,"SST (°C)","Survival status",Sex,"CCL (cm)","SCL (cm)","Stage Class ",,,,,,,,Epibiota,"Prop wounds","Ventral hyperemia","Eyes sunken"
ST1,"""'Myrtle' SW-Loli 1001/HMSC09-11-22-Lo",2009/11/22,LO,Newport,OR,44.6368,-124.0535,11.8,"Released ",U,U,U,Immature,,,,,,,,,,,
ST2,"TMMC-ST-26 'Donatello'",2009/11/25,LO,"Stinson Beach",CA,37.90589,-122.659102,12.77,Died,F,64,61.596,Immature,,,,,,,,,,,
ST3,"""Maude"" MC-98/151543122A/SW-Cmyd 1001",2009/11/27,CM,"Long Beach ",WA,46.3523,-124.0543,10.57,Released,U,U,U,Immature,,,,,,,,,,,
ST4,W10001,2010/11/18,CM,"Long Beach ",WA,46.3523,-124.0543,10.83,Died,M,,71,Immature,,,,,,,,,,,
ST5,TMMC-ST-28,2010/12/29,CC,"Dillon Beach",CA,38.262,-122.9793,11.7,Died,F,27.5,25.999000000000002,Immature,,,,,,,,,,,
ST6,"""Paradise"" Loli 1101",2011/10/05,LO,"Pacific Grove",CA,36.6177,-121.9166,10.8,"Released ",F,69,63.4,Adult,,,,,,,,,,,
ST7,"DFO 9158",2011/11/22,LO,Ucluelet,BC,48.9416,-125.5463,9.11,Died,F,U,U,U,,,,,,,,,,,
ST8,DFO9159,2011/11/30,CM,Ucluelet,BC,48.9416,-125.5463,9.21,Died,M,U,U,Adult,,,,,,,,,,,
ST9,"""Koa"" NWR061812Cm/SW-Cmyd 1201/HMSC12-06-18-Cm",2012/06/18,CM,"Moolack Beach",OR,44.6998,-124.0654,14.12,"Released ",M,U,U,"Putative adult",,,,,,,,,,,
